"artist_name","track_name","genius_url","genius_id","lyrics"
"BLOK3","SEVMEYİ DENEMEDİN","https://genius.com/Blok3-sevmeyi-denemedin-lyrics","10794664","Gittim baş edemedim kaldım geçinemedik Beni sevmeyi hiç denemedin yalan değil Lanet olsun kalbime bi türlü bitiremedim Hayaline şık oldum ben sana değil Gittim baş edemedim kaldım geçinemedik Beni sevmeyi hiç denemedin yalan değil Lanet olsun kalbime bi türlü bitiremedim Hayaline şık oldum ben sana değil Sana baktığımda zaman kısa sürerdi Bütün yıldızlar hp senin için kayardıSeni bulmam için fısıldaman yetrdi Nerde olursan ol ben sesini duyardım Uyardım seni çok uyardım of Uyardım seni çok uyardım of Yalan mı her şeyi mi yalanmış Of Ben mağdur olandım of Gittim baş edemedim kaldım geçinemedik Beni sevmeyi hiç denemedin yalan değil Lanet olsun kalbime bi türlü bitiremedim Hayaline şık oldum ben sana değil Gittim baş edemedim kaldım geçinemedik Beni sevmeyi hiç denemedin yalan değil Lanet olsun kalbime bi türlü bitiremedim Hayaline şık oldum ben sana değil"
"BLOK3","UYUZ","https://genius.com/Blok3-uyuz-lyrics","10794687","Ey Hako Açtın mı kaydı kuzenim Güzel Neyime uyuz oluyosanız söyleyin yapmaya devam edeyim Ulan var ya vallahi yapıyorum bu sporuİstiyosun seni merak ediyim Keramet elimde belimde değil Hangi huyuma uyuz olursun en çokSöyle de yapmaya devam ediyim Söyle yapmaya devam ediyim Söyle de yapmaya devam ediyim Hangi huyuma uyuz olursun en çokSöyle de yapmaya devam ediyim he Yapmaya devam ediyim Söyle de yapmaya devam ediyim Param mı ünüm mü gücüm mü şöhret miSöyle de yapmaya devam ediyim Benle kim kapışcak Düşmanım çok olur Gelsinler hepsini helak ediyim Hangi huyuma uyuz oluyosun en çokSöyle de yapmaya devam ediyim he Yapmaya devam ediyim Söyle de yapmaya devam ediyim Param mı ünüm mü gücüm mü şöhret miSöyle de yapmaya devam ediyim Benle kim kapışcak Düşmanım çok olur Gelsinler hepsini helak ediyim Hangi huyuma uyuz oluyosun en çokSöyle de yapmaya devam ediyim he İsyanlardayız Halil Sezai Arabada gazladık yedik cezayı Yengene cevap vermeyi unuttuk Eyvah başladı bizim mesai Yok size şöyle yaparlarmışHızlılarmış tutar sıkarlarmış Hepsinin evlerine de gittik Gayet de kibar çocuklarmış Hayatı severim ama beni yormasınİşim gücüm var ona bi şey olmasın He-hem ayranım dökülmesin Hem de Gerçekten çok doluyum Sen sus am sana soruyo muyumSen benim bak bakalım gözlerime Ordan korkuyo gibi duruyo muyumİs-is-is-is-istiyosun seni merak ediyim Keramet elimde belimde değil Hangi huyuma uyuz olursun en çokSöyle de yapmaya devam ediyim Söyle yapmaya devam ediyim Söyle de yapmaya devam ediyim Hangi huyuma uyuz olursun en çokSöyle de yapmaya devam ediyim he Yapmaya devam ediyim Söyle de yapmaya devam ediyim Param mı ünüm mü gücüm mü şöhret miSöyle de yapmaya devam ediyim Benle kim kapışcak Düşmanım çok olur Gelsinler hepsini helak ediyim Hangi huyuma uyuz oluyosun en çokSöyle de yapmaya devam ediyim he Yapmaya devam ediyim Söyle de yapmaya devam ediyim Param mı ünüm mü gücüm mü şöhret miSöyle de yapmaya devam ediyim Benle kim kapışcak Düşmanım çok olur Gelsinler hepsini helak ediyim Hangi huyuma uyuz oluyosun en çokSöyle de yapmaya devam ediyim he"
"BLOK3","aklına ben gelicem","https://genius.com/Blok3-aklna-ben-gelicem-lyrics","9481561","Hako Aslında hesapta yoktu Ama seni görüp büyülendim Her gece kafamda kurdum Sana bağlanacağımı bilemezdim Sonra da sevgili olduk hiçbirisi aramıza giremezdi Seni o hlde gördüm sonra bi sigara yaktım Seni sevdiğimi cümle lem gördüÇok iyi oyuncusun yoksa ben mi kördümSevdiğim kız hl yaşıyo evet Ama benim sevdiğim o hli öldüBirini bulunca aklına ben gelicem Elini tutunca aklına ben gelicem O şarkı çalınca aklına ben gelicem Unutma aklına ben gelicem Aklına ben gelicem aklına ben gelicem Bi gün başkasını bulursan O gün kndimi öldürücem Sakın bana deme Burda bni bekleGittin yanımdan hem de büyük bi zevkle Başkası girecek hayatına Gidip ona da sor hadi En sevdiğin renk neHer şey rüya girdin dünyama bir an Sadece sensin yok bana başka liman Saçma sapan konulara geriliyosunÖnceden gülüp geçerdik şimdi deliriyosun Güzelim gerçekten zoruma gidiyoGözlerimin önünde değişiyosun Birini bulunca aklına ben gelicem Elini tutunca aklına ben gelicem O şarkı çalınca aklına ben gelicem Unutma aklına ben gelicem Aklına ben gelicem aklına ben gelicem Bi gün başkasını bulursan O gün kendimi öldürücem Aklına ben gelicem Aklına ben gelicem Aklına ben gelicem Aklına ben gelicem Ben gelicem Aklına ben gelicem Başkasını bulursan O gün kendimi öldürücem"
"UZI","NEON","https://genius.com/Uzi-neon-lyrics","10437611","Yeah yeah Yürekler beton ışıklar neon Yanar kornean fena parlıyom Uzaylı mı ne o Lan her yer neon Duman dolar odam Vito Corleone Biter para biter bu satranç piyon Ben onu da iyi oynuyom Ucuz partilerde kız tavlıyon Ben kendime kaliteli ısmarlıyom he On sene köpek gibi içip duruyom ben Kendimi sizin için niye kuruyom ben Batsın şirketin bitmiyo problem Gittikçe koparıyo benliğimi benden Yetneğim göründü çalıyom ayrı telden Sikimsonik yapamam n istiyonuz benden Ün kapısı arala ve yumuşasın her gang Bu işleri çözemez ve yokuşa sürer gang Neon her yer neon Yaklaş bana bak fena parlıyomOn tane adam olsa napar diyomFazla hızlı giden kesin bize çarpar diyom En fenalar bizde bu kart şampiyon Bul yine de baştan bi yol Aynı hatalara başlanmıyor Sözler gibi gece yaşlanmıyom Neon her yer neon Gözüm kararıyo fena daralıyom Kırmızı neon silaha yansıyo Eğer patlarsa düşer tansiyon Her kapıyı çal kapıyı çal kaçAdamlar onlar yarım porsiyon Baba istemedikçe ben sana benziyom Bana içimdeki şeytan der Ona teslim ol Neon ışıklar neon Kırmızı mavi yani Matrix Neo Sevmediğimi tanımıyom kapris mi oBana geçmişimi bilen herkes Çok pis diyo Aga çektim çektim yok bitmiyoSiktir ol git hl bana Yap diss diyoAnladık herkes kan istiyo Ama memur başımızdan gitmiyo Neon her yer neon Yaklaş bana bak fena parlıyomOn tane adam olsa napar diyomFazla hızlı giden kesin bize çarpar diyom En fenalar bizde bu kart şampiyon Bul yine de baştan bi yol Aynı hatalara başlanmıyor Sözler gibi gece yaşlanmıyom Neon her yer neon Yaklaş bana bak fena parlıyomOn tane adam olsa napar diyomFazla hızlı giden kesin bize çarpar diyom En fenalar bizde bu kart şampiyon Bul yine de baştan bi yol Aynı hatalara başlanmıyor Sözler gibi gece yaşlanmıyom"
"UZI","1 YIL","https://genius.com/Uzi-1-yil-lyrics","11185826","Ah-ah-ah ah-ah-ah A-ah Bugün sana geldiğim anlardan biri Ama mecburum bi sen anlarsan beni Yakarım kendimi ağlarsanGeri dön diyemem Bırakamam asla zatenİnandım o valla sensin bırakmam Dünya üstüme gelse de Koca dünya tersine dönse de Hatta bütün hislerim ölse bırakmam Bık sinirimden inatçılığımdan Serseriyim ben silahla vurulmam Vur lan beni vur gocunmam Gözün kitap gibi bak baş ucumdan Keyif alamadım uykularımdan Sağ tarafım eksik uyanınca Eksik bile eksik be anla Seni gördüm ya kaldım o anda Nefes alıyorum bir yıldır ah Nefes alıyorum bir yıldır Bi ömür verilir bu çocuk tanınır Seni kendimden bile kıskanırım ben Nefes alıyorum bir yıldır senle Nefes alıyorum bir yıldır Zehrin içilir çekilir dırdır Senle nefes alıyorum tam bir yıldır Anladığım tek dil tabanca Bugünün de dünden farkı yok Anca bi aklımı toplıyım yaşıyım rahatça Ve kokun ilaç ya ben amansız hastayım Yirmi yediden sekizine basmıyım Atlamıyosam neden terastayımAnnem bi sen bi dostum hayattayım Noldu bize biz olduk da rahat mıyız Seninle mutsuz olmak da varmış Sanki güzelliği topraktan almışAşk diye bi duygu harbiden varmışBi varmış ve yok olamaz asla Bi hastane koridorlarında voltayım senin için attığım her adım Hatta ne istiyosan senin olurÇünkü ben her zaman burdayım Atla seni gezdiririm Gönlümün duraklarında bembeyaz bi atla Kalp bahçem senin o odalar senin ve istersen ip atla Neden herkes benden bi şeyler bekliyo hem de yorulduğum dakka Yorulduğum anda benimle kal hatta ol hep yanımda Nefes alıyorum bir yıldır ah Nefes alıyorum bir yıldır Bi ömür verilir bu çocuk tanınır Seni kendimden bile kıskanırım ben Nefes alıyorum bir yıldır senle Nefes alıyorum bir yıldır Zehrin içilir çekilir dırdır Senle nefes alıyorum tam bir yıldır Nefes alıyorum bir yıldır ah Nefes alıyorum bir yıldır Bi ömür verilir bu çocuk tanınır Seni kendimden bile kıskanırım ben Nefes alıyorum bir yıldır senle Nefes alıyorum bir yıldır Zehrin içilir çekilir dırdır Senle nefes alıyorum tam bir yıldır Ah Ya istersen ip atla Ya ey-ey ah"
"UZI","ZOR","https://genius.com/Uzi-zor-lyrics","7152842","Kendim için değil ailem için iyiyim Daha makinayım tamamen çeliğim Gönder mesajını tamam inceliyim bebek Artık kızcak yengeniz yok daha da freeyim Hadi tut elimi gel yüreğimiz çok soğuk Buna bi ilaç bulamadı doktor Kafası kırık edemedi kontrol Chavo hayatını toplaması çok zor Düşündüğünü yap sakın yarına bırakmaİstediğim olur hem de istediğim dakka Dumanını çek sanki etkisi Flakka Hayatımdan defol hadi kırmızı kartla Yeter anla bu kadar uzatma Yaşıyorum hayatımı kalabalık yapma Gezemedik beraberken ülkeleri aptal Tekim artık her birine gidiyom inatla Zor zor kaçmak ölmekten daha zor Kendini gel benim yerime koy Korkum yok bol koy Git bizi geçerli gençlere sor Karnımız artık yalanlara tok Zor zor kaçmak ölmekten daha zor Kendini gel benim yerime koy Korkum yok bol koy Git bizi geçerli gençlere sor Karnımız artık yalanlara tok Sırtım yere gelmedi hlen Gelsin diye uğraşır lem Beni ben yapan bu hırs ve iradem Deliden korkmam raporlu tüm ailem Mahkm gibi yaşıyordum Dün gibi kazılı aklıma yak geçmişi Var farkına: Kral tek kişi Bas damarına görünecek dişi Masa başı çalışamam ele başı benim Italiano mafya gibi full takım denim Sade tek başıma akıyor gözlerim Sana belli etmem bebek acımı gizlerim Hisler gerçek düşler derin benim Benim ateş kalbim serin Yanındayım gülümsetirim Hırsım olur ölüm sebebim Zor zor kaçmak ölmekten daha zor Kendini gel benim yerime koy Korkum yok bol koy Git bizi geçerli gençlere sor Karnımız artık yalanlara tok Zor zor kaçmak ölmekten daha zor Kendini gel benim yerime koy Korkum yok bol koy Git bizi geçerli gençlere sor Karnımız artık yalanlara tok"
"Lvbel C5","HAVHAVHAV","https://genius.com/Lvbel-c5-havhavhav-lyrics","11376198","Mm hani nerdesin aşkım aşkımWow ne-nen-nen-ne-ne-ne-nenŞimdi şimdi heh Nasıl bahsetmem kızlardan Onların görüntüler mandalina Kimlerdensin kimlerdenBebeğim alırım sana SubmarinerSezen Aksuyu okuyan Serdar Ortaç gibisin Aşkım sen ben değilsin Tatlısın aynı Leyla gibisin Ama ben Mecnun değilim Bunlar kolpacı yalan dolan hep Baba burda o babam babam rap Herkes güzeldir sahnesinde bebeğim Biraz da beni manzarada çekÜzülüyo düşmanlar Yaprak DökümüAşklar DMde yolluyo götünüOf bayağı keyifsiz piçGöster herkese gerçek yüzünü Onlar arkadan havlar Roar-roar-roar-roar-roar-roar-roar-roar-roar Dedim ki Her şey bende varVar-var-var-var-var-var-var Onlar arkadan havlar Roar-roar-roar-roar-roar-roar-roar-roar-roar Dedim ki Her şey bende varVar-var-var-var-var-var-var Gece saat üç yollardayım Bazen Azer Baba darlardayım Güzelsin İstanbul kokusundan Kilo hesabı paraları tartmaktayım Tersiz sen Fener ben de GSYeni markasınız like a DSMillet diyo Sihirlisin benceBen olmasam binemezdin Benze Haydi haydi haydi haydi Kızlar elleri kaldırsın Haydi haydi haydi haydi Herkes kendini kaptırsın Onlar arkadan havlar Roar-roar-roar-roar-roar-roar-roar-roar-roar Dedim ki Her şey bende varVar-var-var-var-var-var-var Onlar arkadan havlar Roar-roar-roar-roar-roar-roar-roar-roar-roar Dedim ki Her şey bende varVar-var-var-var-var-var-var He Lvbel C5 baba ve-ve-ve-ve-ve-ve A-A-AKDOHe uzaylılar bile beni dinliyo Heh heh heh Wow uzaylılar bile beni dinliyo"
"Lvbel C5","kAHpE","https://genius.com/Lvbel-c5-akdo-and-alizade-kahpe-lyrics","11312238","Wow İstanbul He Wow şimdi haŞimdi şimdi wow Kahpe felek bana bir kere gülse Su vermeyin ona solmuş bi gülse Değişmez insanlar dünya da dönse Onları bıçaklayın konuşanı götse Sanki cehennem duman altı oda Ediyosun dua ediyosun dua Bunlara bi kaşık bile yok suda Yapmıştım eskiden Porsche kumaİstanbul Avrupa Beş kız var hepsi de yan yana Yan yana Honda üstten iki miSeni beş dakikalık yapan kaldıramaz ha Paralarla götümü siliyorum ben zenginim Bana yaklaşmak için Porsche ver bebeğim Karını boşa harcama boşa gel vereyim Private jet beyaz kart tek isteğim Be-benim booty büyük ben gece gündüz yapmak kas Oğlum sen bi sus at-atarım makas Benim konuşmam Rus Türk ruhum elmas Oynatırım parmağımda sanki rakkas En sevdiğim kahpe ALIZADE Pişirdim erkekleri tencerede Namusumu unuttum mahallede Bana Kahpe dediler noldu be En sevdiğim kahpe ALIZADE Pişirdim erkekleri tencerede Namusumu unuttum mahallede Bana Kahpe dedin noldu be-be-be Wow kahpe felek bana bir kere gülse Su vermeyin ona solmuş bir gülse Değişmez insanlar dünya da dönse Onları bıçaklayın konuşanı götse Sanki cehennem duman altı oda Ediyosun dua ediyosun dua Bunlara bi kaşık bile yok suda Yapmıştım eskiden Porsche kuma"
"Lvbel C5","Sezen Aksu","https://genius.com/Lvbel-c5-sezen-aksu-lyrics","10153283","Ahşığım senin şu gözlerine Tavlıyosun beni sözlerinle Ayrılırsak bana Özledim deÖzledim de bana Özledim de Nerdesin şu an Hiç bilmiyorum Hep Sezen Aksuyu dinliyorum Eski günleri özlüyorum Seni çok özlüyorum Fazla mı iyiydi aşkımızBirbirimizi bulduk şanslıyız Sonra Noldu diye bize sorsalar Göte geldi hepimiz şaşkınız Her şeyi boş ver Instagramı boş ver Fotoları boş ver Her şeyi boş ver Ba-bana sarışın kızlar el yapar Ben beğenirsem ona Gel yaparım VIP locada yer yapar Ama ben gelirsem onu hep kaparım Hani çağırdığın kızlar nerdeler OsmanBiz Beşiktaşta onlar Caddebostan Ara kızı telefonu ver bana Osman Hadi gelip arabama binsin kızlar Arabada Bluetoothum yok ama kızlar Arabanın kusuruna bakmayın kızlar Tabaklar sıra sıra çekiliyo kızlar En güzel aşklar arabada başlar Söyler şarkımı en güzel kızlar Ah şu sarışın kızlar Görürüm kalbim sızlar Bodrumda yepyeni aşklar şığım senin şu gözlerine Tavlıyosun beni sözlerinle Ayrılırsak bana Özledim deÖzledim de bana Özledim de Nerdesin şu an Hiç bilmiyorum Hep Sezen Aksuyu dinliyorum Eski günleri özlüyorum Seni çok özlüyorum"
"Ezhel","Geceler","https://genius.com/Ezhel-geceler-lyrics","3104934","Na-na-na-na-na-na hah-hah-hah Gece-geceler geceler Geceler ah Kırmızı fren kırmızı bira Hırlısı hem hırsızı bir ara-da Kırmışım ben fıttırırken Geceler daha acımasız gündüzden der Gencebay Geceleyin hem dert hem iş hem eğ-eğlence var Duygularım karmakarışık uyanırım uykularımdan Uyuyamamak mı ki Geceleri gece yapan buydu kanımca Takılırım şehrimin kuytularında Her yerde değişik huylu kadınlar huysuz adamlar şuursuz adımlar Dolaşırım beynimin uydularında Kulağını aç ve de duy bu yarındanÖnceki saat ganja ve kağıt Tüm gece dar hazır Bitmemiş daha gece işlerim varİzbelik sarmış şehrini bak Kendine espri yap fazla iç geçmişi an Elimde hiçbi şey yok çünkü hiçbi şey var Karanlıklardan doğar aydınlıklar Esrarın da etkisiyle ışık daha parlak çekilir nefesler Karanlıktan yolum yönüm yıldızlar ve sesler Ay güneşten daha güzel Geceler geceler Kafamın peşindeyken yaşarım neyim neysem Geceler geceler İstemem yarın olsun; olsun geceler dolsun yine Geceler geceler Kafamın peşindeyken yaşarım neyim neysem Geceler geceler İstemem yarın olsun; olsun geceler dolsun yine Kızmışım ben kızmışım bi daha Hırslıyım kaybettiğim şeyler hl beynimin bir kenarında Bir bar taburesi üstünde Tupacın öldüğü yaşta Bunalım döngüsü başlar bunalıp döktüğün yaşlar Geceler hepsinin özü bebeler gezer her şehrin idolüEzhel her meselen yaşamak ise kaçarak yaşamak niyeYaşamak şatafat gibi yaşamak aramak bi şey Aramak savaşmak için Başarmak kafanda biter bu yazarak anlatılmaz Geceler akla sığmaz Olurum yarasa olurum tam bir vampir Alacakaranlığa yaparım bungee jumping Gecem siyahi daha iyi Ne olabilir ki rap fon müziğiyken hayatımın hep Gecelerdeyim son günüme dek Son güne denk gelecek gece bekçisi Ezhel hep Esrarın da etkisiyle ışık daha parlak çekilir nefesler Karanlıktan yolum yönüm yıldızlar ve sesler Ay Güneşten daha güzel Geceler geceler Kafamın peşindeyken yaşarım neyim neysem Geceler geceler İstemem yarın olsun; olsun geceler dolsun yine Geceler geceler Kafamın peşindeyken yaşarım neyim neysem Geceler geceler İstemem yarın olsun olsun geceler dolsun yine"
